,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,product_type,instrument_type,old_maturity,red_flag,additional
45,CHK20110301,2012,134,bbtu,0.11,"weighted average price,differential",,,,,natural gas,basis protection swaps,2012|2022,,(appalachian basin)
5,CHK20110301,2011,180,bbtu,$91.35,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,swaps,q1|2011,,
6,CHK20110301,2011,182,bbtu,91.35,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,swaps,q2|2011,,
7,CHK20110301,2011,184,bbtu,91.35,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,swaps,q3|2011,,
8,CHK20110301,2011,184,bbtu,91.35,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,swaps,q4|2011,,
11,CHK20110301,2012,1830,bbtu,100.00,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,other swaps(a),2012,,
12,CHK20110301,2013,1825,bbtu,100.00,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,other swaps(a),2013,,
26,CHK20110301,2011,270,bbtu,104.75,"weighted average price,fixed,",60.00,"weighted average price,put,(per mmbtu)",,,oil,knock-out swaps,q1|2011,,
27,CHK20110301,2011,273,bbtu,104.75,"weighted average price,fixed,",60.00,"weighted average price,put,(per mmbtu)",,,oil,knock-out swaps,q2|2011,,
28,CHK20110301,2011,276,bbtu,104.75,"weighted average price,fixed,",60.00,"weighted average price,put,(per mmbtu)",,,oil,knock-out swaps,q3|2011,,
29,CHK20110301,2011,276,bbtu,104.75,"weighted average price,fixed,",60.00,"weighted average price,put,(per mmbtu)",,,oil,knock-out swaps,q4|2011,,
30,CHK20110301,2012,732,bbtu,109.50,"weighted average price,fixed,",60.00,"weighted average price,put,(per mmbtu)",,,oil,knock-out swaps,2012,,
15,CHK20110301,2011,2250,bbtu,72.81,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),q1|2011,,
16,CHK20110301,2011,2275,bbtu,72.81,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),q2|2011,,
17,CHK20110301,2011,2300,bbtu,72.81,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),q3|2011,,
18,CHK20110301,2011,2300,bbtu,72.81,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),q4|2011,,
19,CHK20110301,2012,15644,bbtu,79.82,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),2012,,
20,CHK20110301,2013,12739,bbtu,85.37,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),2013,,
21,CHK20110301,2014,8707,bbtu,87.72,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),2014,,
22,CHK20110301,2015,7411,bbtu,85.31,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),2015,,
23,CHK20110301,2016,10600,bbtu,84.25,"weighted average price,call,(per mmbtu)",,,,,oil,call options(b),2016|2017,,
5,CHK20120229,2012,370,tbtu,$7.36,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2012,,
6,CHK20120229,2013,415,tbtu,6.44,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2013,,
7,CHK20120229,2014,330,tbtu,6.43,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2014,,
8,CHK20120229,2015,226,tbtu,6.31,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2015,,
9,CHK20120229,2016,279,tbtu,6.72,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2016,,
10,CHK20120229,2017,114,tbtu,10.92,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2017|2020,,
13,CHK20120229,2012,neg223,tbtu,7.90,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),2012,,
14,CHK20120229,2015,neg110,tbtu,6.16,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),2015,,
15,CHK20120229,2016,neg44,tbtu,6.00,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),2016,,
18,CHK20120229,2012,2,tbtu,neg0.35,"weighted average price,differential",,,,,natural gas,basis protection swaps,q1|2012,,
19,CHK20120229,2012,20,tbtu,neg0.81,"weighted average price,differential",,,,,natural gas,basis protection swaps,q2|2012,,
20,CHK20120229,2012,21,tbtu,neg0.80,"weighted average price,differential",,,,,natural gas,basis protection swaps,q3|2012,,
21,CHK20120229,2012,8,tbtu,neg0.74,"weighted average price,differential",,,,,natural gas,basis protection swaps,q4|2012,,
22,CHK20120229,2013,55,tbtu,neg0.48,"weighted average price,differential",,,,,natural gas,basis protection swaps,2013|2018,,
5,CHK20120229,2012,4.6,mmbbl,$101.15,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,q1|2012,,
6,CHK20120229,2012,4.6,mmbbl,101.82,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,q2|2012,,
7,CHK20120229,2012,2.1,mmbbl,100.93,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,q3|2012,,
8,CHK20120229,2012,1.7,mmbbl,99.55,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,q4|2012,,
9,CHK20120229,2013,0.7,mmbbl,87.69,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,2013,,
10,CHK20120229,2014,0.7,mmbbl,88.27,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,2014,,
11,CHK20120229,2015,0.5,mmbbl,88.75,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,non-qualified swaps,2015,,
25,CHK20120229,2012,1.8,mmbbl,106.38,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaptions,q3|2012,,
26,CHK20120229,2012,2.3,mmbbl,106.45,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaptions,q4|2012,,
27,CHK20120229,2013,3.7,mmbbl,102.88,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaptions,2013,,
30,CHK20120229,2012,0.2,mmbbl,109.50,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q1|2012,,
31,CHK20120229,2012,0.2,mmbbl,109.50,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q2|2012,,
32,CHK20120229,2012,0.2,mmbbl,109.50,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q3|2012,,
33,CHK20120229,2012,0.2,mmbbl,109.50,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q4|2012,,
14,CHK20120229,2012,4.1,mmbbl,93.03,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),q1|2012,,
15,CHK20120229,2012,4.0,mmbbl,93.03,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),q2|2012,,
16,CHK20120229,2012,4.1,mmbbl,93.03,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),q3|2012,,
17,CHK20120229,2012,4.1,mmbbl,93.03,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),q4|2012,,
18,CHK20120229,2013,19.4,mmbbl,94.74,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),2013,,
19,CHK20120229,2014,15.4,mmbbl,96.61,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),2014,,
20,CHK20120229,2015,19.4,mmbbl,100.57,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),2015,,
21,CHK20120229,2016,18.9,mmbbl,104.71,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),2016,,
22,CHK20120229,2017,5.3,mmbbl,83.50,"weighted average price,call,(per bbl)",,,,,oil,call options (sold)(b),2017,,
6,CHK20130301,2013,24,tbtu,$3.90,"weighted average price,fixed,",,,,,natural gas,swaps,q1|2013,,
7,CHK20130301,2013,25,tbtu,3.90,"weighted average price,fixed,",,,,,natural gas,swaps,q2|2013,,
9,CHK20130301,2013,44,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),q1|2013,,
10,CHK20130301,2013,67,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),q2|2013,,
11,CHK20130301,2013,68,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),q3|2013,,
12,CHK20130301,2013,68,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),q4|2013,,
13,CHK20130301,2014,330,tbtu,6.43,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2014,,
14,CHK20130301,2015,226,tbtu,6.31,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2015,,
15,CHK20130301,2016,279,tbtu,6.72,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2016,,
16,CHK20130301,2017,114,tbtu,10.92,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (sold),2017|2020,,
18,CHK20130301,2013,neg44,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),q1|2013,,
19,CHK20130301,2013,neg67,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),q2|2013,,
20,CHK20130301,2013,neg68,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),q3|2013,,
21,CHK20130301,2013,neg68,tbtu,6.39,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),q4|2013,,
22,CHK20130301,2014,neg330,tbtu,6.43,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),2014,,
23,CHK20130301,2015,neg226,tbtu,6.31,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),2015,,
24,CHK20130301,2016,neg200,tbtu,6.02,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options (bought)(a),2016,,
26,CHK20130301,2013,44,tbtu,neg0.21,"weighted average price,differential",,,,,natural gas,basis protection swaps,2013,,
27,CHK20130301,2014,28,tbtu,neg0.32,"weighted average price,differential",,,,,natural gas,basis protection swaps,2014,,
28,CHK20130301,2015,31,tbtu,neg0.34,"weighted average price,differential",,,,,natural gas,basis protection swaps,2015,,
29,CHK20130301,2016,8,tbtu,neg1.02,"weighted average price,differential",,,,,natural gas,basis protection swaps,2016|2022,,
6,CHK20130301,2013,5.9,mmbbl,$95.79,"weighted average price,fixed,",,,,,oil,swaps,q1|2013,,
7,CHK20130301,2013,6.9,mmbbl,95.95,"weighted average price,fixed,",,,,,oil,swaps,q2|2013,,
8,CHK20130301,2013,7.0,mmbbl,95.88,"weighted average price,fixed,",,,,,oil,swaps,q3|2013,,
9,CHK20130301,2013,6.9,mmbbl,95.83,"weighted average price,fixed,",,,,,oil,swaps,q4|2013,,
10,CHK20130301,2014,1.4,mmbbl,90.11,"weighted average price,fixed,",,,,,oil,swaps,2014|2015,,
29,CHK20130301,2014,2.9,mmbbl,106.69,"weighted average price,fixed,",,,,,oil,call swaptions,2014,,
30,CHK20130301,2015,2.4,mmbbl,106.61,"weighted average price,fixed,",,,,,oil,call swaptions,2015,,
12,CHK20130301,2013,4.8,mmbbl,94.74,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),q1|2013,,
13,CHK20130301,2013,4.8,mmbbl,94.74,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),q2|2013,,
14,CHK20130301,2013,4.9,mmbbl,94.74,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),q3|2013,,
15,CHK20130301,2013,4.9,mmbbl,94.74,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),q4|2013,,
16,CHK20130301,2014,16.9,mmbbl,96.92,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),2014,,
17,CHK20130301,2015,24.7,mmbbl,100.45,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),2015,,
18,CHK20130301,2016,18.9,mmbbl,104.71,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),2016,,
19,CHK20130301,2017,5.3,mmbbl,83.50,"weighted average price,call,(per bbl)",,,,,oil,call options (sold),2017,,
21,CHK20130301,2013,neg2.3,mmbbl,90.80,"weighted average price,call,(per bbl)",,,,,oil,call options (bought)(b),q1|2013,,
22,CHK20130301,2013,neg2.3,mmbbl,90.80,"weighted average price,call,(per bbl)",,,,,oil,call options (bought)(b),q2|2013,,
23,CHK20130301,2013,neg2.3,mmbbl,90.80,"weighted average price,call,(per bbl)",,,,,oil,call options (bought)(b),q3|2013,,
24,CHK20130301,2013,neg2.3,mmbbl,90.80,"weighted average price,call,(per bbl)",,,,,oil,call options (bought)(b),q4|2013,,
25,CHK20130301,2014,neg2.2,mmbbl,94.91,"weighted average price,call,(per bbl)",,,,,oil,call options (bought)(b),2014,,
27,CHK20130301,2013,5.5,mmbbl,13.20,"weighted average price,differential",,,,,oil,basis protection swaps,2013,,
6,CHK20140227,short-term,448,tbtu,4.15,fixed($ per mmbtu),,,,,natural gas,swaps,short-term,,
17,CHK20140227,short-term,12,tbtu,4.80,fixed($ per mmbtu),,,,,natural gas,swaptions,short-term,,
8,CHK20140227,short-term,196,tbtu,4.38,call($ per mmbtu),3.58 / 4.13,",weighted average price,put,($ per mmbtu)",,,natural gas,3-way collars,short-term,,
9,CHK20140227,long-term,92,tbtu,4.45,call($ per mmbtu),3.38 / 4.24,",weighted average price,put,($ per mmbtu)",,,natural gas,3-way collars,long-term,,
11,CHK20140227,short-term,330,tbtu,6.43,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (sold),short-term,,
12,CHK20140227,long-term,619,tbtu,7.34,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (sold),long-term,,
14,CHK20140227,long-term,neg330,tbtu,6.43,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (bought)(a),long-term,,
15,CHK20140227,short-term,neg426,tbtu,6.17,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (bought)(a),short-term,,
19,CHK20140227,short-term,28,tbtu,neg0.32,differential($ per mmbtu),,,,,natural gas,basis protection swaps,short-term,,
20,CHK20140227,long-term,40,tbtu,neg0.48,differential($ per mmbtu),,,,,natural gas,basis protection swaps,long-term,,
6,CHK20140227,short-term,24.6,mmbbl,93.92,"weighted average price,fixed,",,,,,oil,swaps,short-term,,
